id;country;subCommodity;year2008;year2009;year2010;year2011;year2012;year2013;year2014;year2015;year2016;year2017;year2018;eip;mat
86;United Kingdom;Unwrought alloys;4378.0;4753.0;4530.0;6025.0;6711.0;7324.0;7629.0;7085.0;7833.0;7437.0;7752.0;e;nickel
87;Albania;Unwrought;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;i;nickel
88;Austria;Oxides;82.0;11.0;15.0;8.0;247.0;63.0;nan;nan;nan;nan;nan;i;nickel
89;Austria;Scrap;1164.0;367.0;440.0;527.0;nan;nan;nan;nan;nan;nan;nan;i;nickel
90;Austria;Unwrought;10511.0;4142.0;6894.0;9231.0;8830.0;8004.0;7366.0;6327.0;6875.0;8177.0;9529.0;i;nickel
91;Austria;Unwrought alloys;nan;nan;nan;nan;nan;nan;1696.0;614.0;1238.0;13657.0;18023.0;i;nickel
92;Belgium;Mattes;1250.0;499.0;330.0;598.0;1541.0;3770.0;nan;nan;nan;nan;nan;i;nickel
93;Belgium;Ores&concentrates;nan;419.0;nan;nan;77.0;831.0;379.0;104.0;55910.0;42175.0;68156.0;i;nickel
94;Belgium;Oxides;618.0;565.0;700.0;1033.0;576.0;1322.0;284.0;176.0;678.0;432.0;434.0;i;nickel
95;Belgium;Scrap;566.0;288.0;918.0;1553.0;nan;nan;nan;nan;nan;nan;nan;i;nickel
96;Belgium;Unwrought;29492.0;12037.0;15052.0;19170.0;19032.0;19343.0;20768.0;18279.0;16332.0;23710.0;24672.0;i;nickel
97;Belgium;Unwrought alloys;723.0;1915.0;469.0;574.0;3035.0;11930.0;10110.0;11029.0;10328.0;6021.0;908.0;i;nickel
98;Bulgaria;Unwrought;204.0;90.0;125.0;201.0;172.0;160.0;167.0;184.0;151.0;142.0;139.0;i;nickel
99;Cyprus;Unwrought alloys;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;i;nickel
100;Czech Republic;Oxides;838.0;319.0;393.0;399.0;307.0;298.0;307.0;374.0;197.0;273.0;225.0;i;nickel
101;Czech Republic;Scrap;473.0;1468.0;1257.0;178.0;nan;nan;nan;nan;nan;nan;nan;i;nickel
102;Czech Republic;Unwrought;3728.0;2179.0;2560.0;3748.0;3761.0;2368.0;4032.0;3869.0;2935.0;2831.0;1955.0;i;nickel
103;Czech Republic;Unwrought alloys;nan;nan;nan;nan;nan;nan;466.0;684.0;743.0;805.0;939.0;i;nickel
104;Denmark;Ores&concentrates;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;i;nickel
105;Denmark;Scrap;100.0;122.0;382.0;234.0;nan;nan;nan;nan;nan;nan;nan;i;nickel
106;Denmark;Unwrought;nan;nan;nan;nan;nan;nan;54.0;50.0;91.0;60.0;207.0;i;nickel
107;Finland;Mattes;33247.0;22715.0;33986.0;35284.0;30443.0;29502.0;19562.0;26041.0;76574.0;102530.0;116499.0;i;nickel
108;Finland;Ores&concentrates;290914.0;185202.0;217164.0;276892.0;276587.0;240116.0;307179.0;269701.0;209219.0;144848.0;152171.0;i;nickel
109;Finland;Scrap;481.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;i;nickel
110;Finland;Unwrought;18187.0;9192.0;14558.0;9946.0;0.0;7878.0;1233.0;1000.0;4000.0;3000.0;1000.0;i;nickel
111;Finland;Unwrought alloys;14.0;792.0;17649.0;2688.0;0.0;490.0;4729.0;3000.0;5000.0;1000.0;1000.0;i;nickel
112;France;Mattes;18952.0;20015.0;19921.0;19954.0;19395.0;19053.0;12042.0;11424.0;8478.0;3474.0;15078.0;i;nickel
113;France;Ores&concentrates;413.0;1783.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;i;nickel
114;France;Oxides;560.0;310.0;524.0;412.0;nan;nan;nan;nan;nan;nan;nan;i;nickel
