id;country;subCommodity;year2008;year2009;year2010;year2011;year2012;year2013;year2014;year2015;year2016;year2017;year2018;eip;mat
123;Switzerland;Palladium;86503.0;57571.0;70662.0;60859.0;56950.0;50029.0;42138.0;13019.0;13365.0;22671.0;16761.0;e;platinum
124;Switzerland;Platinum;69404.0;61433.0;72006.0;63853.0;64331.0;53309.0;30715.0;17274.0;21577.0;17590.0;19860.0;e;platinum
125;Switzerland;Waste&scrap;616867.0;362419.0;314061.0;289174.0;nan;nan;nan;nan;nan;nan;nan;e;platinum
126;Turkey;Other platinum group metals;nan;nan;nan;nan;4.0;0.0;11.0;3.0;22.0;444.0;0.0;e;platinum
127;Turkey;Palladium;nan;nan;nan;nan;10.0;1.0;5.0;3.0;190.0;34.0;1.0;e;platinum
128;Turkey;Platinum;nan;nan;nan;nan;575.0;344.0;679.0;273.0;430.0;345.0;407.0;e;platinum
129;Turkey;Platinum&platinum metals;18.0;3142.0;5124.0;2765.0;nan;nan;nan;nan;nan;nan;nan;e;platinum
130;Turkey;Waste&scrap;330.0;9967.0;4491.0;5332.0;nan;nan;nan;nan;nan;nan;nan;e;platinum
131;United Kingdom;Other platinum metals;22548.0;20044.0;23021.0;17319.0;18945.0;17843.0;20158.0;55027.0;60309.0;22683.0;51227.0;e;platinum
132;United Kingdom;Palladium;47142.0;53091.0;42864.0;50917.0;55864.0;55322.0;60671.0;83787.0;90585.0;88727.0;83157.0;e;platinum
133;United Kingdom;Platinum;40630.0;43177.0;24464.0;37836.0;55114.0;42712.0;74068.0;77849.0;119725.0;91286.0;95072.0;e;platinum
134;United Kingdom;Waste&scrap;4278682.0;4273222.0;527862.0;287198.0;nan;nan;3815056.0;2607329.0;2811362.0;2265122.0;3149053.0;e;platinum
135;Austria;Other platinum group metals;nan;nan;nan;nan;522.0;1193.0;976.0;4659.0;973.0;1103.0;1191.0;i;platinum
136;Austria;Palladium;nan;nan;nan;nan;638.0;988.0;996.0;6557.0;5187.0;2165.0;1484.0;i;platinum
137;Austria;Platinum;nan;nan;nan;nan;1035.0;1450.0;1111.0;1114.0;3105.0;2765.0;1800.0;i;platinum
138;Austria;Platinum&platinum metals;700.0;1600.0;1400.0;4100.0;nan;nan;nan;nan;nan;nan;nan;i;platinum
139;Austria;Waste&scrap;100.0;0.0;100.0;21400.0;nan;nan;nan;nan;nan;nan;nan;i;platinum
140;Belgium;Other platinum group metals;nan;nan;nan;nan;243.0;2623.0;2200.0;1000.0;1200.0;7300.0;7975.0;i;platinum
141;Belgium;Palladium;nan;nan;nan;nan;483.0;6491.0;367.0;761.0;268.0;503.0;47252.0;i;platinum
142;Belgium;Platinum;nan;nan;nan;nan;2329.0;1304.0;839.0;1738.0;11200.0;43844.0;126220.0;i;platinum
143;Belgium;Platinum&platinum metals;300.0;1200.0;5189.0;3763.0;nan;nan;nan;nan;nan;nan;nan;i;platinum
144;Bulgaria;Other platinum group metals;nan;nan;nan;nan;35.0;8.0;0.0;15.0;19.0;0.0;0.0;i;platinum
145;Bulgaria;Palladium;nan;nan;nan;nan;0.0;0.0;3.0;15.0;18.0;7.0;4.0;i;platinum
146;Bulgaria;Platinum;nan;nan;nan;nan;3665.0;4.0;371.0;39.0;68.0;67.0;126.0;i;platinum
147;Bulgaria;Platinum&platinum metals;613.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;i;platinum
148;Croatia;Other platinum group metals;nan;nan;nan;nan;3.0;7.0;41.0;1.0;0.0;0.0;0.0;i;platinum
149;Croatia;Palladium;nan;nan;nan;nan;6.0;58.0;100.0;2424.0;8.0;3.0;20.0;i;platinum
150;Croatia;Platinum;nan;nan;nan;nan;16.0;146.0;52.0;165.0;1.0;0.0;21.0;i;platinum
151;Cyprus;Other platinum group metals;nan;nan;nan;nan;0.0;0.0;0.0;0.0;3.0;3.0;5.0;i;platinum
152;Cyprus;Palladium;nan;nan;nan;nan;22.0;20.0;9.0;11.0;12.0;5.0;6.0;i;platinum
153;Cyprus;Platinum;nan;nan;nan;nan;5.0;4.0;1.0;1.0;9.0;3.0;3.0;i;platinum
154;Cyprus;Platinum&platinum metals;400.0;nan;900.0;400.0;nan;nan;nan;nan;nan;nan;nan;i;platinum
155;Czech Republic;Other platinum group metals;nan;nan;nan;nan;42.0;41.0;151.0;214.0;194.0;340.0;92.0;i;platinum
156;Czech Republic;Palladium;nan;nan;nan;nan;100.0;300.0;500.0;413.0;603.0;1010.0;150.0;i;platinum
157;Czech Republic;Platinum;42358.0;81500.0;25000.0;2100.0;13100.0;1200.0;1400.0;7135.0;805.0;2565.0;1069.0;i;platinum
158;Czech Republic;Platinum metals;47932.0;600.0;17700.0;100.0;nan;nan;nan;nan;nan;nan;nan;i;platinum
159;Czech Republic;Waste&scrap;4414.0;772.0;7835.0;54300.0;nan;nan;nan;nan;nan;nan;nan;i;platinum
160;Denmark;Other platinum group metals;nan;nan;nan;nan;44.0;26.0;28.0;24.0;95.0;376.0;6604.0;i;platinum
161;Denmark;Palladium;nan;nan;nan;nan;0.0;1200.0;0.0;544.0;320.0;2790.0;3899.0;i;platinum
162;Denmark;Platinum;nan;nan;nan;nan;500.0;400.0;200.0;473.0;203.0;1797.0;3450.0;i;platinum
163;Denmark;Platinum&platinum metals;6448.0;4699.0;2300.0;1367.0;nan;nan;nan;nan;nan;nan;nan;i;platinum
164;Estonia;Platinum;nan;nan;nan;nan;0.0;1.0;6.0;343.0;192.0;43.0;0.0;i;platinum
165;Estonia;Platinum&platinum metals;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;i;platinum
166;Finland;Other platinum group metals;nan;nan;nan;nan;4.0;2.0;2.0;1.0;2.0;4.0;9.0;i;platinum
167;Finland;Palladium;nan;nan;nan;nan;159.0;30.0;150.0;478.0;244.0;99.0;58.0;i;platinum
168;Finland;Platinum;nan;nan;nan;nan;47.0;59.0;94.0;36.0;29.0;15.0;13.0;i;platinum
169;Finland;Platinum&platinum metals;nan;284.0;385.0;356.0;nan;nan;nan;nan;nan;nan;nan;i;platinum
170;France;Other platinum group metals;nan;nan;nan;nan;3369.0;1314.0;950.0;2272.0;1593.0;5747.0;7023.0;i;platinum
171;France;Other platinum metals;nan;171.0;300.0;270.0;nan;nan;nan;nan;nan;nan;nan;i;platinum
172;France;Palladium;nan;5177.0;2706.0;25607.0;7919.0;10272.0;10355.0;7662.0;4002.0;8524.0;18788.0;i;platinum
173;France;Platinum;8471.0;3633.0;4516.0;4010.0;4606.0;43645.0;6628.0;13192.0;24180.0;49917.0;11012.0;i;platinum
174;France;Platinum metals;4404.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;i;platinum
175;France;Waste&scrap;241200.0;359138.0;143885.0;296178.0;nan;nan;nan;nan;nan;nan;nan;i;platinum
176;Germany;Other platinum group metals;nan;nan;nan;nan;18444.0;15626.0;15963.0;11234.0;11483.0;12438.0;12181.0;i;platinum
177;Germany;Other platinum metals;6400.0;12120.0;19655.0;21319.0;nan;nan;nan;nan;nan;nan;nan;i;platinum
178;Germany;Palladium;55100.0;47092.0;53479.0;50926.0;47449.0;41511.0;43339.0;41465.0;45645.0;74878.0;91745.0;i;platinum
179;Germany;Platinum;47100.0;42452.0;40983.0;38019.0;32874.0;33128.0;38066.0;53212.0;55470.0;57638.0;50035.0;i;platinum
180;Germany;Waste&scrap;10983600.0;6224314.0;8069744.0;7290427.0;nan;nan;nan;nan;nan;nan;nan;i;platinum
181;Greece;Other platinum group metals;nan;nan;nan;nan;500.0;400.0;53.0;2.0;0.0;1.0;2.0;i;platinum
182;Greece;Palladium;nan;nan;nan;nan;13.0;75.0;27.0;52.0;11.0;70.0;350.0;i;platinum
183;Greece;Platinum;nan;nan;nan;nan;400.0;23.0;103.0;30.0;75.0;73.0;46.0;i;platinum
184;Greece;Platinum&platinum metals;300.0;100.0;500.0;1400.0;nan;nan;nan;nan;nan;nan;nan;i;platinum
185;Hungary;Other platinum group metals;nan;nan;nan;nan;2.0;0.0;1.0;48.0;13.0;6.0;0.0;i;platinum
186;Hungary;Palladium;nan;nan;nan;nan;4.0;0.0;11.0;1.0;2.0;17.0;0.0;i;platinum
187;Hungary;Platinum;nan;nan;nan;nan;107.0;38.0;17.0;6.0;151.0;9.0;74.0;i;platinum
188;Hungary;Platinum&platinum metals;453.0;26.0;1300.0;84.0;113.0;nan;nan;nan;nan;nan;nan;i;platinum
189;Iceland;Other platinum group metals;nan;nan;nan;nan;0.0;38.0;52.0;1.0;0.0;4.0;31.0;i;platinum
190;Iceland;Palladium;nan;nan;nan;nan;131.0;126.0;97.0;58.0;406.0;79.0;59.0;i;platinum
191;Iceland;Platinum;nan;nan;nan;nan;19.0;2.0;1.0;11.0;3.0;13.0;18.0;i;platinum
192;Iceland;Platinum&platinum metals;162.0;158.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;i;platinum
193;Ireland, Republic of;Other platinum group metals;nan;nan;nan;nan;126.0;600.0;311.0;471.0;486.0;544.0;272.0;i;platinum
194;Ireland, Republic of;Palladium;nan;nan;nan;nan;1217.0;5263.0;41232.0;6170.0;29742.0;11820.0;5732.0;i;platinum
195;Ireland, Republic of;Platinum;nan;nan;nan;nan;1339.0;4833.0;6314.0;6990.0;6986.0;5240.0;4957.0;i;platinum
196;Ireland, Republic of;Platinum&platinum metals;2185.0;121381.0;9470.0;7826.0;nan;nan;nan;nan;nan;nan;nan;i;platinum
197;Italy;Other platinum group metals;nan;nan;nan;nan;1244.0;782.0;3203.0;2224.0;2230.0;3486.0;5381.0;i;platinum
198;Italy;Other platinum metals;2426.0;1909.0;1694.0;1084.0;nan;nan;nan;nan;nan;nan;nan;i;platinum
199;Italy;Palladium;20593.0;13047.0;10019.0;9171.0;7855.0;6411.0;11765.0;17478.0;24843.0;22748.0;24115.0;i;platinum
200;Italy;Platinum;16570.0;13627.0;12545.0;10630.0;7417.0;8436.0;15766.0;12857.0;25064.0;32371.0;27763.0;i;platinum
201;Italy;Waste&scrap;7646.0;8178.0;16918.0;1468.0;nan;nan;nan;nan;nan;nan;nan;i;platinum
202;Latvia;Other platinum group metals;nan;nan;nan;nan;0.0;106.0;4.0;22.0;0.0;0.0;2.0;i;platinum
203;Latvia;Palladium;nan;nan;nan;nan;0.0;0.0;1.0;10.0;0.0;48.0;0.0;i;platinum
204;Latvia;Platinum;nan;nan;nan;nan;200.0;3.0;47.0;22.0;93.0;36.0;12.0;i;platinum
205;Latvia;Waste&scrap;2842.0;3900.0;400.0;nan;nan;nan;nan;nan;nan;nan;nan;i;platinum
206;Lithuania;Other platinum group metals;nan;nan;nan;nan;9.0;1.0;1.0;10.0;0.0;4.0;0.0;i;platinum
207;Lithuania;Palladium;nan;nan;nan;nan;0.0;0.0;0.0;16.0;0.0;0.0;1.0;i;platinum
208;Lithuania;Platinum;nan;nan;nan;nan;1.0;0.0;0.0;60.0;10.0;33.0;45.0;i;platinum
209;Lithuania;Waste&scrap;40800.0;22700.0;76400.0;64600.0;nan;nan;nan;nan;nan;nan;nan;i;platinum
210;Luxembourg;Other platinum group metals;nan;nan;nan;nan;36.0;33.0;2.0;5.0;158.0;26.0;4.0;i;platinum
211;Luxembourg;Palladium;nan;nan;nan;nan;140.0;99.0;97.0;1814.0;2965.0;4283.0;147.0;i;platinum
212;Luxembourg;Platinum;nan;nan;nan;nan;153.0;169.0;1699.0;1105.0;2646.0;2762.0;2741.0;i;platinum
213;Luxembourg;Platinum&platinum metals;1410.0;1702.0;1633.0;438.0;nan;nan;nan;nan;nan;nan;nan;i;platinum
214;Malta;Other platinum group metals;nan;nan;nan;nan;200.0;6.0;100.0;7.0;13.0;0.0;0.0;i;platinum
215;Malta;Palladium;nan;nan;nan;nan;0.0;2.0;0.0;4.0;5.0;1.0;0.0;i;platinum
216;Malta;Platinum;nan;nan;nan;nan;200.0;11.0;0.0;7.0;20.0;19.0;14.0;i;platinum
217;Montenegro;Other platinum group metals;nan;nan;nan;nan;0.0;0.0;0.0;0.0;1000.0;0.0;0.0;i;platinum
218;Montenegro;Platinum&platinum metals;nan;nan;nan;nan;nan;nan;nan;nan;nan;0.0;0.0;i;platinum
219;Netherlands;Other platinum group metals;nan;nan;nan;nan;200.0;400.0;500.0;53.0;493.0;177.0;102.0;i;platinum
220;Netherlands;Palladium;nan;nan;nan;nan;500.0;200.0;100.0;685.0;351.0;242.0;1606.0;i;platinum
221;Netherlands;Platinum;nan;nan;nan;nan;1742.0;2221.0;2139.0;3290.0;602.0;405.0;1651.0;i;platinum
222;Netherlands;Waste&scrap;40.0;111.0;260515.0;411332.0;nan;nan;nan;nan;nan;nan;nan;i;platinum
