id;country;subCommodity;year2008;year2009;year2010;year2011;year2012;year2013;year2014;year2015;year2016;year2017;year2018;eip;mat
150;United Kingdom;Ferro-cerium&other pyrophoric alloys;57.0;148.0;150.0;79.0;nan;nan;28.0;29.0;67.0;41.0;1.0;i;ree
151;United Kingdom;Metals;133.0;99.0;119.0;79.0;65.0;128.0;127.0;42.0;10.0;6.0;0.0;i;ree
152;United Kingdom;Other rare earth compounds;251.0;103.0;322.0;629.0;518.0;654.0;591.0;565.0;341.0;628.0;499.0;i;ree
153;Australia;nan;nan;nan;0.0;nan;nan;nan;nan;nan;nan;nan;nan;p;ree
154;Brazil;Monazite;834.0;303.0;249.0;290.0;206.0;0.0;0.0;nan;nan;nan;nan;p;ree
155;Burundi;nan;nan;nan;nan;nan;nan;0.0;0.0;0.0;0.0;50.0;1075.0;p;ree
156;China;nan;125000.0;129000.0;120000.0;105000.0;100000.0;nan;nan;nan;nan;nan;nan;p;ree
157;India;Monazite;22.0;16.0;nan;nan;nan;491.0;2825.0;1500.0;nan;nan;nan;p;ree
158;Malaysia;Monazite;233.0;25.0;622.0;571.0;113.0;261.0;372.0;499.0;1875.0;302.0;86.0;p;ree
159;Malaysia;Xenotime;0.0;0.0;110.0;208.0;66.0;97.0;83.0;66.0;4.0;0.0;1568.0;p;ree
160;Russia;Loparite;nan;6628.0;5120.0;6226.0;6712.0;7485.0;7700.0;8509.0;8756.0;8928.0;9224.0;p;ree
161;USA;Bastnaesite;0.0;0.0;0.0;0.0;3000.0;5500.0;5400.0;5900.0;0.0;0.0;18000.0;p;ree
162;Australia;oxides;0.0;0.0;0.0;2188.0;2612.0;970.0;3965.0;8799.0;12631.0;16003.0;17754.0;p;ree
163;Brazil;oxides;540.0;200.0;160.0;188.0;134.0;nan;nan;nan;nan;nan;nan;p;ree
164;Burma;oxides;nan;nan;nan;nan;nan;100.0;300.0;400.0;4500.0;20000.0;34000.0;p;ree
165;China;oxides;124500.0;129400.0;118900.0;105000.0;100000.0;95000.0;139000.0;139000.0;140000.0;140000.0;180000.0;p;ree
166;India;oxides;22.0;16.0;nan;nan;nan;319.0;1836.0;956.0;2265.0;2724.0;4215.0;p;ree
167;Madagascar;oxides;nan;nan;nan;nan;nan;nan;nan;nan;0.0;0.0;2000.0;p;ree
168;Malaysia;oxides;150.0;20.0;471.0;498.0;114.0;229.0;292.0;365.0;1221.0;196.0;1012.0;p;ree
169;Russia;oxides;2470.0;1898.0;1496.0;1444.0;2131.0;1443.0;2134.0;2312.0;3063.0;2500.0;2596.0;p;ree
170;Thailand;oxides;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;p;ree
171;USA;oxides;0.0;0.0;0.0;0.0;1800.0;3300.0;3240.0;3540.0;0.0;0.0;10800.0;p;ree
172;Vietnam;oxides;nan;nan;nan;0.0;0.0;100.0;0.0;250.0;220.0;200.0;920.0;p;ree
