id;techGroup;tech;mat;scenario;year2020;year2030;year2040
99;battery;battery;Vanadium;sps;0.0;11.30660253;138.6898854
100;network;All;All;sps;14079.66754;17034.39421;20483.64957
101;network;transmission;All;sps;5985.140027;7421.472537;8332.928053
102;network;transmission;Copper;sps;1837.294889;2469.115847;2824.794785
103;network;transmission;Aluminium;sps;4147.845138;4952.35669;5508.133268
104;network;distribution;All;sps;7699.799012;9119.227009;11521.22824
105;network;distribution;Copper;sps;2743.373208;3273.773153;4158.376463
106;network;distribution;Aluminium;sps;4956.425804;5845.453856;7362.851775
107;network;transformer;All;sps;394.728498;493.6946669;629.4932797
108;network;transformer;Copper;sps;394.728498;493.6946669;629.4932797
109;hydrogen;All;All;sps;0.115061048;7.29855421;15.65898638
110;hydrogen;electrolyser;All;sps;0.003834917;0.199878156;0.346993734
111;hydrogen;electrolyser;Copper;sps;5.87e-06;0.000223838;0.00055908
112;hydrogen;electrolyser;Cobalt;sps;2.17e-05;0.00046037;0.000263957
113;hydrogen;electrolyser;Nickel;sps;0.003351439;0.175379199;0.304649195
114;hydrogen;electrolyser;Iridium;sps;6.75e-07;7.52e-06;1.33e-05
115;hydrogen;electrolyser;Platinum;sps;3.22e-07;4.02e-06;3.25e-06
116;hydrogen;electrolyser;Zirconium;sps;0.000454871;0.023803205;0.041262562
117;hydrogen;electrolyser;Yttrium;sps;0.0;0.0;1.9e-05
118;hydrogen;electrolyser;Lanthanum;sps;0.0;0.0;0.00022337
119;hydrogen;FCEV;All;sps;0.111226131;7.098676054;15.31199265
120;hydrogen;FCEV;Copper;sps;0.110450573;7.086089466;15.2937172
121;hydrogen;FCEV;Platinum group metals;sps;0.000775557;0.012586588;0.018275451
122;lowCarb;all;All;sds;1692.009521;4820.415236;4748.740075
123;lowCarb;Solar PV;All;sds;742.9863752;1753.086159;1822.445888
124;lowCarb;Solar PV;Cadmium;sds;0.197978668;0.322013495;0.305050153
125;lowCarb;Solar PV;Copper;sds;345.9707415;926.7571997;989.1333003
126;lowCarb;Solar PV;Gallium;sds;0.004165646;0.08914102;2.766327725
127;lowCarb;Solar PV;Indium;sds;0.015502441;0.032370911;0.070174236
128;lowCarb;Solar PV;Lead;sds;0.610321705;1.560422943;1.695478895
129;lowCarb;Solar PV;Selenium;sds;0.035704114;0.077922861;0.069085728
130;lowCarb;Solar PV;Silicon;sds;389.973399;809.7556809;807.5262136
131;lowCarb;Solar PV;Silver;sds;1.962462935;3.615092284;2.326921926
132;lowCarb;Solar PV;Tellurium;sds;0.205413098;0.338212805;0.328547153
133;lowCarb;Solar PV;Tin;sds;0.629797805;1.621148905;1.777863058
134;lowCarb;Solar PV;Zinc;sds;3.174392633;8.171135406;8.961027414
135;lowCarb;Solar PV;Arsenic;sds;0.0;0.194802129;6.907047867
136;lowCarb;Solar PV;Others;sds;0.20649567;0.55101578;0.578849496
137;lowCarb;Wind;All;sds;643.7045868;1602.04721;1704.513923
138;lowCarb;Wind;Chromium;sds;28.73194149;69.52829493;74.89416203
139;lowCarb;Wind;Copper;sds;216.7638144;577.1428116;609.788128
140;lowCarb;Wind;Manganese;sds;45.7816933;109.9036587;117.4417497
141;lowCarb;Wind;Molybdenum;sds;6.014970761;14.53837472;15.64197243
142;lowCarb;Wind;Nickel;sds;21.04881279;49.20251081;52.33601575
143;lowCarb;Wind;Zinc;sds;321.1702995;770.2042028;822.1714756
144;lowCarb;Wind;Neodymium;sds;3.138448043;8.536493004;8.985952019
145;lowCarb;Wind;Dysprosium;sds;0.342993817;0.907098811;0.953179129
146;lowCarb;Wind;Praseodymium;sds;0.510024107;1.485982568;1.623240416
147;lowCarb;Wind;Terbium;sds;0.116849911;0.338932611;0.382602675
148;lowCarb;Wind;Others;sds;0.084738632;0.258848953;0.295444896
149;lowCarb;Hydropower;All;sds;81.30378419;194.2194461;128.2975783
150;lowCarb;Hydropower;Chromium;sds;31.83390141;76.04520206;50.23397742
151;lowCarb;Hydropower;Copper;sds;22.28373098;53.23164145;35.1637842
152;lowCarb;Hydropower;Lead;sds;6.366780281;15.20904041;10.04679548
153;lowCarb;Hydropower;Magnesium;sds;2.122260094;5.069680138;3.348931828
154;lowCarb;Hydropower;Manganese;sds;4.244520187;10.13936028;6.697863656
155;lowCarb;Hydropower;Molybdenum;sds;5.305650234;12.67420034;8.37232957
156;lowCarb;Hydropower;Nickel;sds;0.657900629;1.571600843;1.038168867
157;lowCarb;Hydropower;Zinc;sds;8.489040375;20.27872055;13.39572731
158;lowCarb;Hydropower;Others;sds;0.0;0.0;0.0
159;lowCarb;Solid Biofuels;All;sds;25.30639475;46.87688201;59.08185286
160;lowCarb;Solid Biofuels;Copper;sds;19.41907784;35.97137521;45.33696369
161;lowCarb;Solid Biofuels;Lead;sds;0.889684624;1.648027763;2.077111993
162;lowCarb;Solid Biofuels;Nickel;sds;0.171093197;0.316928416;0.399444614
163;lowCarb;Solid Biofuels;Titanium;sds;3.421863937;6.33856832;7.988892281
164;lowCarb;Solid Biofuels;Zinc;sds;1.368745575;2.535427328;3.195556912
165;lowCarb;Solid Biofuels;Others;sds;0.035929571;0.066554967;0.083883369
166;lowCarb;Solar Thermal;All;sds;4.437920879;137.9063103;360.7126191
167;lowCarb;Solar Thermal;Chromium;sds;1.231909013;36.2482967;91.49308112
168;lowCarb;Solar Thermal;Copper;sds;0.624995576;17.38744046;42.1578267
169;lowCarb;Solar Thermal;Magnesium;sds;0.644616358;20.36272128;53.80288289
170;lowCarb;Solar Thermal;Manganese;sds;1.145394549;38.45169682;105.2443118
171;lowCarb;Solar Thermal;Molybdenum;sds;0.033378595;0.889153867;2.083914478
172;lowCarb;Solar Thermal;Nickel;sds;0.389087084;12.77554938;34.53448865
173;lowCarb;Solar Thermal;Niobium;sds;0.026057639;0.896472006;2.486488866
174;lowCarb;Solar Thermal;Zinc;sds;0.335181894;10.68905652;28.40517519
175;lowCarb;Solar Thermal;Others;sds;0.007300172;0.205923279;0.504449389
176;lowCarb;Geothermal;All;sds;143.7434922;960.8605853;605.8171056
177;lowCarb;Geothermal;Chromium;sds;50.80234161;339.5908012;214.1100587
178;lowCarb;Geothermal;Copper;sds;1.841836312;12.31184723;7.762549289
179;lowCarb;Geothermal;Manganese;sds;3.411538351;22.80459926;14.37816945
180;lowCarb;Geothermal;Molybdenum;sds;5.686423114;38.01118059;23.96583205
181;lowCarb;Geothermal;Nickel;sds;80.56101316;538.5141342;339.5300828
182;lowCarb;Geothermal;Titanium;sds;1.288891021;8.615656692;5.432122286
183;lowCarb;Geothermal;Others;sds;0.151448639;1.012366025;0.638290991
184;lowCarb;nuclear;All;sds;50.52696717;125.4186432;67.87110898
185;lowCarb;nuclear;Chromium;sds;20.98239072;52.08274161;28.18491207
186;lowCarb;nuclear;Copper;sds;14.11281348;35.0309947;18.95724908
187;lowCarb;nuclear;Hafnium;sds;0.00459888;0.011415395;0.006177515
188;lowCarb;nuclear;Lead;sds;0.440726015;1.093975395;0.592011852
189;lowCarb;nuclear;Manganese;sds;1.414970273;3.512256163;1.900680112
190;lowCarb;nuclear;Molybdenum;sds;0.678334823;1.683770825;0.911183459
191;lowCarb;nuclear;Nickel;sds;12.43037066;30.85481498;16.69728245
192;lowCarb;nuclear;Niobium;sds;0.019162001;0.047564148;0.025739646
193;lowCarb;nuclear;Silver;sds;0.009581;0.023782074;0.012869823
194;lowCarb;nuclear;Tin;sds;0.044072602;0.109397539;0.059201185
195;lowCarb;nuclear;Titanium;sds;0.0143715;0.035673111;0.019304734
196;lowCarb;nuclear;Tungsten;sds;0.047905002;0.118910369;0.064349114
197;lowCarb;nuclear;Vanadium;sds;0.0057486;0.014269244;0.007721894
198;lowCarb;nuclear;Zirconium;sds;0.29222051;0.725353251;0.392529597
