id;country;subCommodity;year2008;year2009;year2010;year2011;year2012;year2013;year2014;year2015;year2016;year2017;year2018;eip;mat
141;Romania;Ores&concentrates;161527.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;i;zinc
142;Romania;Scrap;55.0;0.0;246.0;439.0;nan;nan;nan;nan;nan;nan;nan;i;zinc
143;Romania;Unwrought;7394.0;10523.0;16664.0;17006.0;16883.0;18691.0;16104.0;17906.0;15769.0;20183.0;21339.0;i;zinc
144;Romania;Unwrought alloys;nan;nan;nan;nan;nan;nan;2024.0;2221.0;1728.0;2749.0;2206.0;i;zinc
145;Serbia;Unwrought;8209.0;4178.0;4846.0;5275.0;5344.0;6418.0;5932.0;7386.0;7849.0;7779.0;7590.0;i;zinc
146;Serbia;Unwrought alloys;nan;nan;nan;nan;nan;nan;443.0;946.0;522.0;909.0;853.0;i;zinc
147;Slovakia;Ores&concentrates;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;i;zinc
148;Slovakia;Unwrought;41003.0;28863.0;37266.0;34536.0;27313.0;36191.0;56716.0;45943.0;39432.0;47362.0;52785.0;i;zinc
149;Slovakia;Unwrought alloys;nan;nan;nan;nan;nan;nan;2744.0;2657.0;1908.0;2293.0;2663.0;i;zinc
150;Slovenia;Scrap;nan;nan;313.0;299.0;nan;nan;nan;nan;nan;nan;nan;i;zinc
151;Slovenia;Unwrought;14881.0;16766.0;15314.0;14495.0;12916.0;12984.0;14284.0;17029.0;15902.0;8996.0;9893.0;i;zinc
152;Slovenia;Unwrought alloys;8938.0;6180.0;5850.0;7374.0;6623.0;8457.0;9576.0;10077.0;10624.0;10692.0;10346.0;i;zinc
153;Spain;Ores&concentrates;1113998.0;909078.0;958485.0;977695.0;1069671.0;994451.0;1057670.0;823447.0;930725.0;913296.0;1226071.0;i;zinc
154;Spain;Scrap;7396.0;3127.0;10935.0;23205.0;nan;nan;nan;nan;nan;nan;nan;i;zinc
155;Spain;Unwrought;26755.0;16091.0;7583.0;16841.0;6091.0;4623.0;12274.0;4005.0;3640.0;6665.0;20729.0;i;zinc
156;Spain;Unwrought alloys;15324.0;9230.0;15388.0;11025.0;7235.0;7156.0;8081.0;5946.0;6781.0;6224.0;7044.0;i;zinc
157;Sweden;Ores&concentrates;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;i;zinc
158;Sweden;Scrap;1696.0;1208.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;i;zinc
159;Sweden;Unwrought;29211.0;29750.0;37524.0;30598.0;24686.0;23619.0;25827.0;25519.0;12244.0;9973.0;10009.0;i;zinc
160;Sweden;Unwrought alloys;12059.0;2691.0;5905.0;6282.0;5907.0;6536.0;6910.0;7664.0;8788.0;9665.0;9845.0;i;zinc
161;Switzerland;Ores&concentrates;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;i;zinc
162;Switzerland;Unwrought;13715.0;9431.0;15521.0;12747.0;11702.0;11554.0;10560.0;11451.0;14162.0;5309.0;7137.0;i;zinc
163;Switzerland;Unwrought alloys;2471.0;1549.0;2276.0;2158.0;1930.0;1648.0;2080.0;2191.0;2340.0;2029.0;1759.0;i;zinc
164;Turkey;Ores&concentrates;nan;nan;nan;nan;nan;nan;10.0;138.0;47.0;328.0;9798.0;i;zinc
165;Turkey;Scrap;1381.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;i;zinc
166;Turkey;Unwrought;147215.0;137765.0;182598.0;201409.0;224683.0;234744.0;237999.0;231845.0;236327.0;268226.0;248843.0;i;zinc
167;Turkey;Unwrought alloys;4091.0;1714.0;2876.0;6504.0;5261.0;10059.0;13969.0;15982.0;15345.0;15833.0;13821.0;i;zinc
168;United Kingdom;Ores&concentrates;257.0;119.0;574.0;426.0;nan;nan;nan;274.0;1.0;19.0;1.0;i;zinc
169;United Kingdom;Scrap;103.0;344.0;447.0;339.0;nan;nan;1412.0;590.0;470.0;781.0;676.0;i;zinc
170;United Kingdom;Unwrought;119911.0;84594.0;97066.0;85516.0;77847.0;98448.0;113410.0;106101.0;94731.0;98731.0;102510.0;i;zinc
